category,date,contents,title
모두의공원,2019-02-20,티브로드에서 인수한다고 했던게 엇그제였던거 같은데 오늘 오전에 설치기사님들 오셔서 전신주에서 선따놓으시고 가셨네요 내일이나 내일 모래쯤에 집중장치 설치될거 같네요 케이블 보니 롤이라 광인지 케이블...,<span>드디어 SK <b>브로드</b><b>밴드</b>가 들어오는군요 : 클리앙</span>
모두의공원,2018-05-11,"활용이 어려울 거라고 생각한다. 단말기 성능이 향상되면 기기당 2.5Gbps 속도도 가능할 거라고 본다."" (유지창 SK, 인프라부문장) http://www.zdnet.co.kr/news/news_view.asp?artice_id=20180510122108",<span>SKB 2.5Gbps 회선 특징.png</span>
모두의공원,2018-05-10,"발생했었고, 이 당시에는 SKB를 제외한 LG와 KT는 정상접속이 되었습니다. DNS 서버의 문제였다면 SK,만 DNS 쿼리 문제가 생길리가 없죠. SKB 다음 LG 그리고 오늘 KT이신데도 1.1.1.1 DNS 쿼리가 정상...",<span>1.1.1.1 DNS가 동작하는 것은 해프닝이 아닙니다.</span>
모두의공원,2018-05-10,skb는 제가 머신이 없어서 확인이 어렵습니다 1.1.1.1에 한해 skt는 skb로 가기 전에 차단이 되는 모습입니다 이전 글과 같이 lgu는 skt처럼 skb에서 막혀서 못나가는게 아닌가 생각해봅니다 이시각 현재 정상입니다,<span>SKT 1.1.1.1 경로 (SK<b>브로드</b><b>밴드</b>에서 차단-&amp;gt; 현재 정상)</span>
모두의공원,2018-01-13,"SK,로 계속 유지하면서 쓰려면 전혀 혜택 같은게 없는건가요? SKT와 결합할인때문에 (온가족 할인 50%) 요금 생각하면 타사로 옮기기가 어려운데, 가장 혜택이 좋은 방법은 뭘까요..",<span>인터넷+IPTV 약정완료되었는데요 (SK)</span>
모두의공원,2018-01-13,"앱이나 브라우저는 멀쩡한데 인스타그램만 느리네요 사진이 아예 로딩조차 안되는 수준 ㅜㅜㅜ SK , ,인데 한번씩 이러네요.. 공유기 초기화해도 똑같은걸 보면 SK 뭔가 문제가 있는것 같네요 ㅜㅜ 아오...",<span>SKB 와이파이에서 인스타만 느리네요</span>
모두의공원,2018-01-12,"버라이즌은 삼성의 mmWave기반의 5G가 기대이상의 성능을 보이고 있어서 도입을 서두를듯 하네요 고정형 무선 , 서비스용입니다",<span>버라이즌 삼성의 mmWave 5G 성능 평가 매우 만족</span>
모두의공원,2018-03-10,"SK, 해외망 속도입니다... 넷플릭스 국내 캐시서버 설치좀 해주면 좋겠네요... 자주 해상도가 떨어지더군요... 1080p보는데도 이정도이면 4k는 어느정도일지.. 대충 예상이 가네요.",<span>SKB 해외망 속도.png</span>
모두의공원,2018-03-07,"SK , 구린거 알아줘야 하는데 ㅠ 타 커뮤니티 등에서도 유럽권 사이트 접속이 안되는 문제가 있나봅니다. 현재 유플레이와 레인보우 식스 시즈가 플레이가 불가능... 그 외 XDA등 유럽서버들 접속이...",<span>7일 현재 SK망이 문제가 있나보네요.</span>
모두의공원,2018-03-07,"TV박스는 KT올레가 압도적이고.. 멤버쉽 제휴도 KT가 젤 좋은걸로 알고있습니다 (LGU는 너무 부족하고, skt는 대부분 vip만 해당) 저는 sk, 다시는 못쓰겠더라구요; TV 컨텐츠도 KT랑 비교하면 너무 딸리고",<span>KT가 결합으로 쓰기에 젤 좋은거 같아요</span>
모두의공원,2018-08-06,"계획을 말하는 ‘2분 발표회’를 열었다. 그간 한 달에 한 번씩 박정호 사장, 이형희 미디어사업부장(SK, 사장), 서성원 MNO사업부장을 비롯한 임원들이 참석하는 ‘뉴노멀 시프트데이(New Normal...",<span>SKT 임원들 '테드' 방식으로 사업 발표한 이유 : 클리앙</span>
모두의공원,2018-07-30,"쉽지 않은 일이다. 페이스북은 2016년까지 KT에 이용자 접속을 빠르게 도와주는 ‘캐시서버’를 두고 SK,와 LG유플러스 이용자들도 접속하게 했다. 하지만 2017년 망 사용료를 놓고 이견이 발생하자...","<span>이효성, 5G 상용화 앞두고 망중립성 원칙 손본다</span>"
모두의공원,2018-07-19,"스몰3 하면 온가족10프로 선약25프로 해서 64975원 + 21450*3 해서 13만원정도 그리고 유선인터넷(SK,) 1.5정도해서 월 14.5만원이군요 모공 검색해보니 저렴하게 사용하시는 분들(온가족30년 혹은 알뜰...",<span>가족 통신요금 계산해보니 꽤 큰 금액이네요</span>
모두의공원,2018-07-17,안녕하세요 공룡발입니다. 어제 작업실겸 놀이방으로 얻어놓은 원룸에 인터넷좀 신청하려고 복도에 붙어있던 스티커 전화번호로 전화를 걸었습니다. 무조건 3년약정에 요금도 비싸긴 했지만 그나마 저렴한 SK로...,<span>SK <b>브로드</b><b>밴드</b>? 개인정보 도용당했습니다.</span>
모두의공원,2018-07-10,"해방됐으면 좋겠네요. 이상 클량 초보, 이사 초보의 푸념이였습니다.... T_T 수정내용) 댓글참고하여 , 본사로 연락했고, 본사는 가능하다고 합니다. 제가 연결한 통로는 대리점이고, 대리점에서는...",<span>고민) 전주인때문에 인터넷을 못해요.. : 클리앙</span>
모두의공원,2019-01-17,"접수한 뒤에도 이용자에게 해지 철회나 재약정을 유도하는 행위를 해온 의혹을 받는 SK텔레콤과 SK,에 대해 방송통신위원회가 사실조사에 나섰다. 정부의 시정명령까지 무시하고 고객센터 안에 전담조직...","<span>[단독]'시정명령 무시하고 2차 해지 방어' 방통위, SKT·SK<b>브로드</b><b>밴드</b> 조사 : 클리앙</span>"
모두의공원,2019-01-16,"안녕하세요, SK 결합노예라 울며 겨자먹기로 SK 인터넷과 전화를 사용중인데, 넷플릭스 속도때문에 다른 포럼을 보다가 1월 25일을 목표로 해외망 확충 작업이 진행중이란 소식이 있습니다. 처음에는 고객센터...","<span>SK <b>브로드</b><b>밴드</b> 인터넷, 1월 25일을 목표로 해외망 확충 예정. : 클리앙</span>"
